feature,importance
n_drugs_total,0.4350315809269048
n_reactions,0.19121675036653055
age,0.12226730759465723
n_role_C,0.08008091849557573
sex_encoded,0.07725137430487425
n_role_SS,0.07396413422868572
n_role_I,0.01590576242959036
n_role_PS,0.004282171653181323
