feature,coefficient
n_role_I,0.502522962313501
sex_encoded,-0.42849520637138117
n_drugs_total,0.2877855864467411
n_role_C,-0.2254187517414508
n_role_PS,0.1994697594134636
n_role_SS,-0.18878838351286026
n_reactions,0.10304825566650586
age,7.507828740657165e-05
