drug,reaction,a,b,c,d,PRR,ROR,chi2,pvalue
INFLIXIMAB,Mobility decreased,1151,6563,5326,1471310,41.36832904772192,48.4480100981452,37413.348956270864,0.0
SULFASALAZINE,Drug intolerance,1480,5911,7384,1469575,40.05301974100151,49.831140061874834,47195.038216633446,0.0
SIMPONI,Infusion related reaction,1485,7213,6336,1469316,39.76269688434122,47.74309406626924,45669.26162239893,0.0
HYDROXYCHLOROQUINE,Rheumatoid arthritis,1768,6428,8024,1468130,39.6845133219181,50.32455992321728,54963.7077511325,0.0
INFLIXIMAB,Infusion related reaction,1338,6376,6483,1470153,39.50698700188374,47.587656482517446,41815.23421724263,0.0
SULFASALAZINE,Sleep disorder,1156,6235,5873,1471086,39.333543267091926,46.44077278060568,36223.72360516911,0.0
LEFLUNOMIDE,Dry mouth,1000,5928,5447,1471975,39.150679802980726,45.58635453357802,31514.285289537213,0.0
SULFASALAZINE,Wheezing,1134,6257,5816,1471143,38.9631350687302,45.84346033130652,35234.328210054875,0.0
HYDROXYCHLOROQUINE,Swelling,1399,6797,6532,1469622,38.574584461166815,46.30841463053159,42367.14761946629,0.0
SULFASALAZINE,Dry mouth,1042,6349,5405,1471554,38.524521923368304,44.6830589912766,32037.533011982177,0.0
ADALIMUMAB,Hepatic enzyme increased,1299,8296,5226,1469529,38.20451087649099,44.03004844020385,37830.51767748494,0.0
LEFLUNOMIDE,Sleep disorder,1058,5870,5971,1471451,37.786379258796266,44.41670110816705,32308.42032822801,0.0
ACTEMRA,Musculoskeletal stiffness,1431,8184,5832,1468903,37.63455778971899,44.04023376688027,41148.36388681693,0.0
LEFLUNOMIDE,Wheezing,1038,5890,5912,1471510,37.44204930590931,43.86426444674697,31433.965239750003,0.0
CLOZAPINE,Neutropenia,2345,6301,10785,1464919,37.111347257839945,50.55065995735347,68256.83778429173,0.0
OXYCODONE,Hepatic enzyme increased,1080,6820,5445,1471005,37.06956794643792,42.78146433678292,31739.728216658197,0.0
LEFLUNOMIDE,Discomfort,962,5966,5553,1471869,36.94401409636885,42.739880935240265,28770.105507320342,0.0
HYDROXYCHLOROQUINE,Infusion related reaction,1328,6868,6493,1469661,36.83684189836305,43.76627201499469,38611.30783773897,0.0
REMICADE,Rheumatoid arthritis,1795,7347,7997,1467211,36.220079467012994,44.82495800836161,50509.77932587663,0.0
CIMZIA,Mobility decreased,1382,9788,5095,1468085,35.77391706194656,40.68376109337383,36880.13213642494,0.0
REMICADE,Mobility decreased,1170,7972,5307,1469901,35.57532006471848,40.64972102755348,32326.558872259782,0.0
