"feature","coefficient"
"(Intercept)",-0.425631269023983
"age",7.50168693117008e-05
"sex_encoded",-0.425272822453992
"n_role_PS",0.494812534074887
"n_role_SS",0.102035339401799
"n_role_C",0.0640331211620603
"n_role_I",0.830005892698413
"n_reactions",0.102962616143449
"n_drugs_total",NA
